infHistory;OPG

E. ferrisi: E. falciformis;131653.421

E. ferrisi: E. ferrisi;171252.393

E. ferrisi: uni;0

E. falciformis: E. ferrisi;293149.520

 E. falciformis :E. falciformis;34540.145

E. falciformis: uni;0

uni:uni;0
